step,episode_return,critic_loss,actor_loss,episode_len
9,6.120661815876522,,,9
89,-39.18558610171487,,,80
93,7.829453206944089,,,4
173,-41.38976250940649,,,80
178,7.925520416589702,,,5
183,5.1320875121028315,,,5
187,5.5465151606240495,,,4
267,-12.55659842533698,,,80
347,-35.55552140377109,,,80
427,-34.590779886991584,,,80
507,-13.829956548717092,,,80
513,7.682746980045371,,,6
529,5.2319848490146095,,,16
609,-47.06072717403051,,,80
689,-35.25842008721788,,,80
769,-33.09080030594394,,,80
774,7.701771402041928,,,5
854,-43.5481029369066,,,80
861,7.5047731668426,,,7
865,5.666087420245869,,,4
869,5.510890051943442,,,4
879,6.310041839864451,,,10
887,5.978938480931397,,,8
967,-9.472593394827074,,,80
974,6.247249134683371,,,7
979,6.819436935034966,,,5
1059,-23.38369847300117,,,80
1063,7.764794973723381,,,4
1069,6.066204095791494,,,6
1074,6.205052373629748,,,5
1154,-6.353960791725417,,,80
1166,4.368370946734832,,,12
1170,5.607359649852043,,,4
1177,5.167523015859121,,,7
1181,6.260238279004828,,,4
1189,5.9966627279325815,,,8
1195,6.254384032631929,,,6
1202,6.592890284973044,,,7
1207,6.29595306007171,,,5
1213,6.301186631154643,,,6
1222,5.91726097600073,,,9
1226,6.5773935740506735,,,4
1231,6.307486298381364,,,5
1235,6.882919944848409,,,4
1239,6.5442855927947825,,,4
1243,6.44739204785371,,,4
1248,6.675361347809398,,,5
1253,6.2597458036980544,,,5
1257,6.198870926045261,,,4
1265,7.29559903666051,,,8
1275,6.204864280673772,,,10
1279,6.596456236084714,,,4
1284,6.4415890940022535,,,5
1364,-12.448175513263475,,,80
1368,7.970859521440397,,,4
1374,6.30216895800454,,,6
1379,6.423995867204658,,,5
1384,6.55504257321426,,,5
1389,5.546519301179293,,,5
1396,5.317788627205018,,,7
1403,6.4014822714285575,,,7
1407,6.663792039962093,,,4
1413,6.277466889888173,,,6
1417,6.438695765018623,,,4
1421,5.728030985160611,,,4
1501,-9.881510769036383,,,80
1514,6.420815421846368,,,13
1521,6.1074692843557115,,,7
1601,-14.839022326523153,,,80
1605,7.845468337751052,,,4
1610,6.438559893358965,,,5
1690,-8.867797134672513,,,80
1694,7.766728091819029,,,4
1774,-14.054447477636435,,,80
1854,-8.625964478481817,,,80
1858,4.970391038405592,,,4
1862,6.29974680314582,,,4
1867,5.627125506050093,,,5
1871,5.587812988489981,,,4
1875,6.514844420203682,,,4
1955,-21.783637677519593,,,80
